|Movie|IMDB Rating|Year|
|The Shawshank Redemption |9.2|1994|
|The Godfather |9.2|1972|
|The Godfather: Part II |9.0|1974|
|The Dark Knight |8.9|2008|
|Schindler's List |8.9|1993|
|12 Angry Men |8.9|1957|
|Pulp Fiction |8.9|1994|
|The Lord of the Rings: The Return of the King |8.9|2003|
|The Good, the Bad and the Ugly |8.9|1966|
|Fight Club |8.8|1999|
|The Lord of the Rings: The Fellowship of the Ring |8.8|2001|
|Star Wars: Episode V - The Empire Strikes Back |8.7|1980|
|Forrest Gump |8.7|1994|
|Inception |8.7|2010|
|The Lord of the Rings: The Two Towers |8.7|2002|
|One Flew Over the Cuckoo's Nest |8.7|1975|
|Goodfellas |8.7|1990|
|The Matrix |8.7|1999|
|Seven Samurai |8.6|1954|
|Star Wars: Episode IV - A New Hope |8.6|1977|
|City of God |8.6|2002|
|Se7en |8.6|1995|
|The Silence of the Lambs |8.6|1991|
|It's a Wonderful Life |8.6|1946|
|The Usual Suspects |8.6|1995|
|Life Is Beautiful |8.6|1997|
|Léon: The Professional |8.6|1994|
|Once Upon a Time in the West |8.5|1968|
|Spirited Away |8.5|2001|
|Saving Private Ryan |8.5|1998|
|American History X |8.5|1998|
|Casablanca |8.5|1942|
|Interstellar |8.5|2014|
|Psycho |8.5|1960|
|City Lights |8.5|1931|
|Raiders of the Lost Ark |8.5|1981|
|Modern Times |8.5|1936|
|The Intouchables |8.5|2011|
|The Green Mile |8.5|1999|
|Rear Window |8.5|1954|
|Terminator 2: Judgment Day |8.5|1991|
|The Pianist |8.5|2002|
|The Departed |8.5|2006|
|Back to the Future |8.5|1985|
|Whiplash |8.5|2014|
|Gladiator |8.5|2000|
|Memento |8.5|2000|
|Apocalypse Now |8.5|1979|
|The Prestige |8.5|2006|
|The Lion King |8.4|1994|
|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb |8.4|1964|
|Sunset Boulevard |8.4|1950|
|Alien |8.4|1979|
|The Great Dictator |8.4|1940|
|The Lives of Others |8.4|2006|
|Cinema Paradiso |8.4|1988|
|Paths of Glory |8.4|1957|
|Django Unchained |8.4|2012|
|The Shining |8.4|1980|
|Grave of the Fireflies |8.4|1988|
|WALL·E |8.4|2008|
|The Dark Knight Rises |8.4|2012|
|American Beauty |8.4|1999|
|Aliens |8.4|1986|
|Princess Mononoke |8.4|1997|
|Oldboy |8.4|2003|
|Citizen Kane |8.4|1941|
|Once Upon a Time in America |8.4|1984|
|Das Boot |8.3|1981|
|North by Northwest |8.3|1959|
|Vertigo |8.3|1958|
|Witness for the Prosecution |8.3|1957|
|Star Wars: Episode VI - Return of the Jedi |8.3|1983|
|M |8.3|1931|
|Reservoir Dogs |8.3|1992|
|Braveheart |8.3|1995|
|Amélie |8.3|2001|
|Requiem for a Dream |8.3|2000|
|A Clockwork Orange |8.3|1971|
|Taxi Driver |8.3|1976|
|Double Indemnity |8.3|1944|
|Lawrence of Arabia |8.3|1962|
|Toy Story 3 |8.3|2010|
|To Kill a Mockingbird |8.3|1962|
|Eternal Sunshine of the Spotless Mind |8.3|2004|
|Amadeus |8.3|1984|
|Full Metal Jacket |8.3|1987|
|The Sting |8.3|1973|
|2001: A Space Odyssey |8.3|1968|
|Bicycle Thieves |8.3|1948|
|Singin' in the Rain |8.3|1952|
|Toy Story |8.3|1995|
|Snatch |8.3|2000|
|Inglourious Basterds |8.3|2009|
|Monty Python and the Holy Grail |8.3|1975|
|The Kid |8.3|1921|
|L.A. Confidential |8.3|1997|
|For a Few Dollars More |8.3|1965|
|Rashomon |8.3|1950|
|The Apartment |8.3|1960|
